,maccsfingerprint6,maccsfingerprint9,maccsfingerprint16,maccsfingerprint17,maccsfingerprint23,maccsfingerprint24,maccsfingerprint27,maccsfingerprint31,maccsfingerprint32,maccsfingerprint33,maccsfingerprint34,maccsfingerprint35,maccsfingerprint37,maccsfingerprint40,maccsfingerprint41,maccsfingerprint42,maccsfingerprint43,maccsfingerprint44,maccsfingerprint45,maccsfingerprint46,maccsfingerprint48,maccsfingerprint49,maccsfingerprint50,maccsfingerprint51,maccsfingerprint52,maccsfingerprint53,maccsfingerprint54,maccsfingerprint55,maccsfingerprint56,maccsfingerprint57,maccsfingerprint58,maccsfingerprint59,maccsfingerprint60,maccsfingerprint61,maccsfingerprint62,maccsfingerprint63,maccsfingerprint64,maccsfingerprint65,maccsfingerprint66,maccsfingerprint68,maccsfingerprint69,maccsfingerprint70,maccsfingerprint71,maccsfingerprint72,maccsfingerprint73,maccsfingerprint74,maccsfingerprint75,maccsfingerprint76,maccsfingerprint77,maccsfingerprint78,maccsfingerprint79,maccsfingerprint80,maccsfingerprint81,maccsfingerprint82,maccsfingerprint83,maccsfingerprint84,maccsfingerprint85,maccsfingerprint86,maccsfingerprint87,maccsfingerprint88,maccsfingerprint89,maccsfingerprint90,maccsfingerprint91,maccsfingerprint92,maccsfingerprint93,maccsfingerprint94,maccsfingerprint95,maccsfingerprint96,maccsfingerprint97,maccsfingerprint98,maccsfingerprint99,maccsfingerprint100,maccsfingerprint101,maccsfingerprint102,maccsfingerprint103,maccsfingerprint104,maccsfingerprint105,maccsfingerprint106,maccsfingerprint108,maccsfingerprint109,maccsfingerprint110,maccsfingerprint111,maccsfingerprint112,maccsfingerprint113,maccsfingerprint116,maccsfingerprint117,maccsfingerprint118,maccsfingerprint119,maccsfingerprint120,maccsfingerprint121,maccsfingerprint122,maccsfingerprint123,maccsfingerprint124,maccsfingerprint125,maccsfingerprint126,maccsfingerprint127,maccsfingerprint128,maccsfingerprint129,maccsfingerprint130,maccsfingerprint131,maccsfingerprint132,maccsfingerprint133,maccsfingerprint134,maccsfingerprint135,maccsfingerprint136,maccsfingerprint137,maccsfingerprint138,maccsfingerprint139,maccsfingerprint140,maccsfingerprint141,maccsfingerprint142,maccsfingerprint143,maccsfingerprint144,maccsfingerprint145,maccsfingerprint146,maccsfingerprint147,maccsfingerprint148,maccsfingerprint149,maccsfingerprint150,maccsfingerprint151,maccsfingerprint152,maccsfingerprint153,maccsfingerprint154,maccsfingerprint155,maccsfingerprint156,maccsfingerprint157,maccsfingerprint158,maccsfingerprint159,maccsfingerprint160,maccsfingerprint161,maccsfingerprint162,maccsfingerprint163,maccsfingerprint164,maccsfingerprint165,capacity_max,smiles
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,39.45,Brc1ccc(C(c2ccc(Br)cc2)C(c2ccc(Br)cc2)c2ccc(-c3ccc(-c4cc5c(cc4Br)Sc4cc(Br)c(Br)cc4S5)cc3)cc2)cc1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,51.0,Brc1ccc(C(c2ccc(Br)cc2)C(c2ccc(Br)cc2)c2ccc(-c3ccc(-c4ccc5c(c4)Sc4cc(Br)ccc4S5)cc3)cc2)cc1
2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,407.0,Brc1ccc(Nc2nc(Nc3ccc(Br)s3)nc(Nc3ccc(Br)s3)n2)s1
3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,628.0,C#Cc1ccc(C#N)cc1
4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,31.37,C#Cc1ccc(N2COc3cc4c(cc3C2)OCN(c2ccc(C#Cc3ccc5c(c3)OCN(c3ccc(N(c6ccc(N7COc8cc(Br)ccc8C7)cc6)c6ccc(N7COc8cc(Br)ccc8C7)cc6)cc3)C5)cc2)C4)cc1
5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,270.0,C=CC#N
6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,330.0,C=Cc1ccc(/C=C(\C#N)CC#N)cc1
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,255.0,CC(C)c1ccc(-n2c(-c3ccc(C#N)cc3)cc3c2cc(-c2ccc(C#N)cc2)n3-c2ccc(C(C)C)cc2)cc1
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,67.07,CCc1ccc(NCc2cc(O)c(CNc3ccc(CCc4ccc(CNc5ccc(N(c6ccc(NCc7ccc(Br)cc7O)cc6)c6ccc(NCc7ccc(Br)cc7O)cc6)cc5)c(O)c4)cc3)cc2O)cc1
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,72.75,COc1ccc(C(c2ccccc2)=c2c3ccccc3c(=C(c3ccccc3)c3ccccc3)c3ccccc23)cc1
