ecfp_feature_25,ecfp_feature_33,ecfp_feature_39,ecfp_feature_45,ecfp_feature_98,ecfp_feature_112,ecfp_feature_116,ecfp_feature_128,ecfp_feature_136,ecfp_feature_144,ecfp_feature_147,ecfp_feature_191,ecfp_feature_202,ecfp_feature_233,ecfp_feature_278,ecfp_feature_294,ecfp_feature_314,ecfp_feature_333,ecfp_feature_344,ecfp_feature_352,ecfp_feature_356,ecfp_feature_360,ecfp_feature_361,ecfp_feature_375,ecfp_feature_378,ecfp_feature_433,ecfp_feature_452,ecfp_feature_578,ecfp_feature_650,ecfp_feature_674,ecfp_feature_694,ecfp_feature_725,ecfp_feature_726,ecfp_feature_780,ecfp_feature_790,ecfp_feature_801,ecfp_feature_807,ecfp_feature_830,ecfp_feature_831,ecfp_feature_849,ecfp_feature_875,ecfp_feature_888,ecfp_feature_896,ecfp_feature_930,ecfp_feature_932,ecfp_feature_935,ecfp_feature_940,ecfp_feature_960,ecfp_feature_963,ecfp_feature_969,ecfp_feature_1004,ecfp_feature_1009,radius,diameter,num_heteroatoms,num_rotatable_bonds,num_h_acceptors,num_h_donors,tpsa,mol_wt,o%,n%,c%,capacity_max,smiles
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,0.0,2.0,0.0,47.58,128.037448128,0.0,0.2,0.8,628.0,N#CC1=CC=C(C#N)C=C1
0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,2.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,16.0,4.0,6.0,4.0,0.0,57.44,544.2626970240001,0.0,0.09523809523809523,0.9047619047619048,255.0,CC(C1=CC=C(N2C3=C(C=C2C4=CC=C(C=C4)C#N)N(C5=CC=C(C=C5)C(C)C)C(C6=CC=C(C=C6)C#N)=C3)C=C1)C
0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,2.0,16.0,4.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,16.0,8.0,4.0,6.0,0.0,83.22,602.134736704,0.0,0.13636363636363635,0.8181818181818182,269.0,CC1=CC2=C(N=C(S2)N3C(C4=CC=C(C=C4)C#N)=CC5=C3C=C(N5C6=NC7=C(S6)C=C(C)C=C7)C8=CC=C(C=C8)C#N)C=C1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,3.0,0.0,12.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,15.0,6.0,9.0,0.0,116.01,746.95815756,0.0,0.1875,0.6875,228.0,ClC1=NC(C2=CC=C(C3=CC(C4=CC=C(C5=NC(Cl)=NC(Cl)=N5)C=C4)=CC(C6=CC=C(C7=NC(Cl)=NC(Cl)=N7)C=C6)=C3)C=C2)=NC(Cl)=N1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,14.0,4.0,10.0,2.0,135.54000000000002,531.952432216,0.058823529411764705,0.23529411764705882,0.5882352941176471,468.0,ClC1=NC(Cl)=NC(NC2=CC3=C(C=C2)C(C4=C(C3=O)C=CC(NC5=NC(Cl)=NC(Cl)=N5)=C4)=O)=N1
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,0.0,2.0,0.0,47.58,199.99976088,0.0,0.14285714285714285,0.5714285714285714,379.0,FC1=C(C(C#N)=C(C(F)=C1C#N)F)F
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,0.0,4.0,0.0,95.16,204.043596128,0.0,0.25,0.75,383.0,N#C/C(C#N)=C(C=C/1)/C=CC1=C(C#N)/C#N
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,2.0,0.0,47.58,78.021798064,0.0,0.3333333333333333,0.6666666666666666,404.0,N#C/C=C/C#N
0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0,0.0,4.0,2.0,0.0,0.0,0.0,18.0,2.0,0.0,4.0,8.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,16.0,6.0,4.0,6.0,0.0,105.01999999999998,510.1592945760001,0.0,0.15,0.85,291.0,N#CC1=CC=C(C2=CC3=C(N2C4=CC=C(C=C4)C#N)C=C(N3C5=CC=C(C=C5)C#N)C6=CC=C(C=C6)C#N)C=C1
0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,9.0,4.0,0.0,4.0,0.0,95.16,302.05924619200005,0.0,0.16666666666666666,0.8333333333333334,500.0,N#CC1=C(C2=C3C4=CC=C2C(C#N)=C1)C=CC3=C(C=C4C#N)C#N
