ecfp_feature_1,ecfp_feature_2,ecfp_feature_3,ecfp_feature_10,ecfp_feature_12,ecfp_feature_16,ecfp_feature_19,ecfp_feature_22,ecfp_feature_27,ecfp_feature_29,ecfp_feature_30,ecfp_feature_33,ecfp_feature_34,ecfp_feature_36,ecfp_feature_38,ecfp_feature_39,ecfp_feature_45,ecfp_feature_54,ecfp_feature_55,ecfp_feature_58,ecfp_feature_73,ecfp_feature_78,ecfp_feature_80,ecfp_feature_81,ecfp_feature_86,ecfp_feature_90,ecfp_feature_94,ecfp_feature_99,ecfp_feature_100,ecfp_feature_104,ecfp_feature_105,ecfp_feature_108,ecfp_feature_110,ecfp_feature_111,ecfp_feature_121,ecfp_feature_122,ecfp_feature_123,ecfp_feature_125,smiles
0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,3,1,1,1,0,1,0,1,0,1,0,0,1,0,0,COCc1ccoc1
1,0,0,0,1,1,1,0,0,0,3,1,0,1,0,3,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,1,0,1,2,0,CC12CC1CC(O)C2
0,1,0,1,0,0,2,0,0,1,2,0,1,1,0,1,1,0,0,1,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,OC1(CCC=C1)C#C
0,0,0,2,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,CC1CN(C=O)C=N1
0,0,0,2,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,CC12NCC1OC2=O
0,0,0,1,0,1,0,0,1,1,2,1,0,1,0,3,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,CC12CC1CN2C=O
0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,1,CC(=O)C1CC1C#C
1,0,1,0,0,2,1,0,0,0,2,1,1,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,C#CCC12CC1CO2
1,0,0,1,0,1,1,0,0,0,3,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,CCOC12CC1CC2
1,0,1,3,2,1,1,0,2,0,2,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,C#CC1CC2OC2C1
1,0,0,1,1,1,1,0,2,0,3,0,1,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,OC1CCC2OC2C1
0,0,2,0,1,1,1,0,1,0,2,0,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,3,0,C#CC1COC2CC12
0,0,1,0,1,1,0,0,0,0,2,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,3,0,OCC1OCC2CC12
