ecfp_feature_1,ecfp_feature_4,ecfp_feature_15,ecfp_feature_33,ecfp_feature_36,ecfp_feature_64,ecfp_feature_73,ecfp_feature_80,ecfp_feature_90,ecfp_feature_114,ecfp_feature_121,ecfp_feature_128,ecfp_feature_136,ecfp_feature_138,ecfp_feature_147,ecfp_feature_175,ecfp_feature_216,ecfp_feature_219,ecfp_feature_237,ecfp_feature_255,ecfp_feature_283,ecfp_feature_301,ecfp_feature_310,ecfp_feature_314,ecfp_feature_322,ecfp_feature_333,ecfp_feature_356,ecfp_feature_361,ecfp_feature_378,ecfp_feature_386,ecfp_feature_389,ecfp_feature_407,ecfp_feature_428,ecfp_feature_429,ecfp_feature_456,ecfp_feature_484,ecfp_feature_486,ecfp_feature_511,ecfp_feature_512,ecfp_feature_561,ecfp_feature_650,ecfp_feature_656,ecfp_feature_659,ecfp_feature_695,ecfp_feature_698,ecfp_feature_699,ecfp_feature_718,ecfp_feature_726,ecfp_feature_730,ecfp_feature_739,ecfp_feature_741,ecfp_feature_767,ecfp_feature_807,ecfp_feature_809,ecfp_feature_816,ecfp_feature_831,ecfp_feature_841,ecfp_feature_842,ecfp_feature_849,ecfp_feature_875,ecfp_feature_881,ecfp_feature_893,ecfp_feature_896,ecfp_feature_904,ecfp_feature_926,ecfp_feature_935,ecfp_feature_985,ecfp_feature_1019,pic50,smiles
0,0,1,1,4,0,1,2,1,0,0,1,0,4,0,0,0,0,0,1,0,0,0,2,0,0,9,0,2,0,0,0,1,1,0,0,0,1,0,0,2,2,0,1,0,1,0,4,0,0,0,0,0,0,1,1,1,0,5,0,1,0,0,1,7,1,0,0,4.61,CO[C@]1(CC23CCC(CC2)(CO3)NCc4ccc5OCC(=O)Nc5n4)CN6C(=O)C=Cc7ncc(F)c1c67
0,0,1,3,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,1,0,2,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,0,0,0,0,4,2,0,0,4.5,Cc1oc2cc3CCN(CCCSc4nnc(c5ocnc5C)n4C)CCc3cc2n1
0,0,1,2,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,4,1,3,0,0,0,2,3,0,0,1,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,2,1,0,0,0,0,6,1,1,2,0,3,6,1,0,3,5.01,CN(C)c1ncc(cn1)[C@@H]2CC[C@H](CC2)N3CC(C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F
0,6,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,10,2,0,0,6.1,C(COc1ccc(cc1)N2CCCCC2)CN3CCCCC3
0,0,0,2,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,6,1,2,0,1,1,3,0,0,0,5.0,CC1(C)Oc2ccc(cc2C3(COC(=N3)N)C14COC4)c5cccnc5F
0,0,0,1,1,0,1,3,1,0,2,1,0,0,0,0,0,0,2,1,0,2,0,2,2,0,8,0,2,0,0,0,1,0,2,0,0,1,1,0,2,1,0,1,0,0,1,4,0,0,0,1,0,0,0,1,1,0,6,1,1,0,0,0,5,2,0,1,4.46,COc1ccc2N=CC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1
0,1,0,4,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0,3,1,0,1,5.17,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)C(C)(C)C
1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,3,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,1,0,1,0,4,10,1,1,5,4.3,COC1COCCC1N[C@@H]2C[C@H]3C[C@H](F)C[C@]3(C2)C(=O)N4CCc5ncc(cc5C4)C(F)(F)F
0,2,0,2,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,6,0,3,0,0,0,1,3,1,0,0,0,1,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,6,1,0,0,1,3,4,3,0,1,4.66,COc1cc(ccc1n2cnc(C)c2)c3cn(nn3)[C@H]4CCCCN(CC(F)(F)F)C4=O
0,0,0,2,1,0,0,7,1,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,1,0,6,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,1,3,0,2,0,2,2,0,0,0,2,1,2,0,2,0,6,4,1,2,0,2,5,0,0,2,5.3,COCCCc1cc(CN(C2CC2)C(=O)C3CNCCC3(O)c4ccc(F)c(F)c4)cc(OCCOC)c1
