maccsfingerprint16,maccsfingerprint23,maccsfingerprint24,maccsfingerprint27,maccsfingerprint35,maccsfingerprint37,maccsfingerprint40,maccsfingerprint41,maccsfingerprint44,maccsfingerprint45,maccsfingerprint46,maccsfingerprint48,maccsfingerprint49,maccsfingerprint50,maccsfingerprint51,maccsfingerprint52,maccsfingerprint53,maccsfingerprint54,maccsfingerprint55,maccsfingerprint56,maccsfingerprint57,maccsfingerprint58,maccsfingerprint59,maccsfingerprint60,maccsfingerprint61,maccsfingerprint62,maccsfingerprint63,maccsfingerprint64,maccsfingerprint66,maccsfingerprint68,maccsfingerprint69,maccsfingerprint70,maccsfingerprint72,maccsfingerprint73,maccsfingerprint74,maccsfingerprint75,maccsfingerprint76,maccsfingerprint77,maccsfingerprint78,maccsfingerprint79,maccsfingerprint80,maccsfingerprint81,maccsfingerprint82,maccsfingerprint83,maccsfingerprint84,maccsfingerprint85,maccsfingerprint86,maccsfingerprint87,maccsfingerprint88,maccsfingerprint89,maccsfingerprint90,maccsfingerprint91,maccsfingerprint92,maccsfingerprint93,maccsfingerprint94,maccsfingerprint95,maccsfingerprint96,maccsfingerprint97,maccsfingerprint98,maccsfingerprint99,maccsfingerprint100,maccsfingerprint101,maccsfingerprint102,maccsfingerprint104,maccsfingerprint105,maccsfingerprint106,maccsfingerprint108,maccsfingerprint109,maccsfingerprint110,maccsfingerprint111,maccsfingerprint112,maccsfingerprint113,maccsfingerprint116,maccsfingerprint117,maccsfingerprint118,maccsfingerprint119,maccsfingerprint120,maccsfingerprint121,maccsfingerprint122,maccsfingerprint123,maccsfingerprint124,maccsfingerprint125,maccsfingerprint126,maccsfingerprint127,maccsfingerprint128,maccsfingerprint129,maccsfingerprint130,maccsfingerprint132,maccsfingerprint133,maccsfingerprint134,maccsfingerprint135,maccsfingerprint136,maccsfingerprint137,maccsfingerprint138,maccsfingerprint139,maccsfingerprint140,maccsfingerprint141,maccsfingerprint142,maccsfingerprint143,maccsfingerprint144,maccsfingerprint145,maccsfingerprint146,maccsfingerprint147,maccsfingerprint148,maccsfingerprint149,maccsfingerprint150,maccsfingerprint151,maccsfingerprint152,maccsfingerprint153,maccsfingerprint154,maccsfingerprint155,maccsfingerprint156,maccsfingerprint157,maccsfingerprint158,maccsfingerprint159,maccsfingerprint160,maccsfingerprint163,capacity_max,smiles
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39.45,BrC1=CC2Sc3cc(Br)c(-c4ccc(-c5ccc(C(c6ccc(-c7ccc(-c8cc9c(cc8Br)Sc8cc(Br)c(Br)cc8S9)cc7)cc6)C(c6ccc(-c7ccc(-c8cc9c(cc8Br)SC8C=C(Br)C(Br)=CC8S9)cc7)cc6)c6ccc(-c7ccc(-c8cc9c(cc8Br)SC8C=C(Br)C(Br)=CC8S9)cc7)cc6)cc5)cc4)cc3SC2C=C1Br
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,BrC1=CC2Sc3cc(-c4ccc(-c5ccc(C(c6ccc(-c7ccc(-c8ccc9c(c8)Sc8cc(Br)ccc8S9)cc7)cc6)C(c6ccc(-c7ccc(-c8ccc9c(c8)SC8C=C(Br)C=CC8S9)cc7)cc6)c6ccc(-c7ccc(-c8ccc9c(c8)SC8C=C(Br)C=CC8S9)cc7)cc6)cc5)cc4)ccc3SC2C=C1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,24.9,Brc1ccc2c(c1)c1cc(-c3ccc(-c4cc(-c5ccc(-c6ccc7c(c6)c6cc(Br)ccc6c6nc8cc9nc%10c%11ccc(Br)cc%11c%11cc(Br)ccc%11c%10nc9cc8nc76)cc5)cc(-c5ccc(-c6ccc7c(c6)c6cc(Br)ccc6c6nc8cc9nc%10c%11ccc(Br)cc%11c%11cc(Br)ccc%11c%10nc9cc8nc76)cc5)n4)cc3)ccc1c1cc3nc4cc5nc6c7ccc(Br)cc7c7cc(Br)ccc7c6nc5cc4nc3cc21
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,121.9,Brc1ccc2c(c1)c1cc(-c3ccc(-c4nc(-c5ccc(-c6ccc7c(c6)c6cc(Br)ccc6c6nc8cc9nc%10c%11ccc(Br)cc%11c%11cc(Br)ccc%11c%10nc9cc8nc76)cc5)nc(-c5ccc(-c6ccc7c(c6)c6cc(Br)ccc6c6nc8cc9nc%10c%11ccc(Br)cc%11c%11cc(Br)ccc%11c%10nc9cc8nc76)cc5)n4)cc3)ccc1c1cc3nc4cc5nc6c7ccc(Br)cc7c7cc(Br)ccc7c6nc5cc4nc3cc21
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,75.3,Brc1ccc2c(c1)c1cc(Br)ccc1c1nc3cc4nc5c6ccc(-c7cc(-c8ccc9c(c8)c8ccccc8c8nc%10cc%11nc%12c%13ccc(Br)cc%13c%13cc(Br)ccc%13c%12nc%11cc%10nc98)c8ccc9c(-c%10ccc%11c(c%10)c%10ccccc%10c%10nc%12cc%13nc%14c%15ccc(Br)cc%15c%15cc(Br)ccc%15c%14nc%13cc%12nc%11%10)cc(-c%10ccc%11c(c%10)c%10ccccc%10c%10nc%12cc%13nc%14c%15ccc(Br)cc%15c%15cc(Br)ccc%15c%14nc%13cc%12nc%11%10)c%10c9c8c7CC%10)cc6c6ccccc6c5nc4cc3nc21
0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,407.0,Brc1ccc(Nc2nc(Nc3ccc(Br)s3)nc(Nc3ccc(Br)s3)n2)s1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,31.37,C#Cc1ccc(N2COc3cc4c(cc3C2)OCN(C#Cc2ccc3c(c2)OCN(c2ccc(N(c5ccc(N6COc7cc(C#Cc8ccc(N9COc%10cc%11c(cc%10C9)OCN(c9ccc(C#C)cc9)C%11)cc8)ccc7C6)cc5)c5ccc(N6COc7cc(C#Cc8ccc(N9COc%10cc%11c(cc%10C9)OCN(c9ccc(C#C)cc9)C%11)cc8)ccc7C6)cc5)cc2)C3)C4)cc1
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,196.0,c1cc(-c2cc[n+](-c3nc(-[n+]4ccc(-c5ccncc5)cc4)nc(-[n+]4ccc(-c5ccncc5)cc4)n3)cc2)ccn1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,255.0,CC(C)c1ccc(-n2c(-c3ccc(C#N)cc3)cc3c2cc(-c2ccc(-c4nc(-c5ccc(-c6cc7c(cc(-c8ccc(C#N)cc8)n7-c7ccc(C(C)C)cc7)n6-c6ccc(C(C)C)cc6)cc5)nc(-c5ccc(-c6cc7c(cc(-c8ccc(C#N)cc8)n7-c7ccc(C(C)C)cc7)n6-c6ccc(C(C)C)cc6)cc5)n4)cc2)n3-c2ccc(C(C)C)cc2)cc1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,67.07,CCc1ccc(NCc2cc(O)c(CNc3ccc(CCc4ccc(CNc5ccc(N(c6ccc(NCc7ccc(CCc8ccc(NCc9cc(O)c(CNc%10ccc(CC)cc%10)cc9O)cc8)cc7O)cc6)c6ccc(NCc7ccc(CCc8ccc(NCc9cc(O)c(CNc%10ccc(CC)cc%10)cc9O)cc8)cc7O)cc6)cc5)c(O)c4)cc3)cc2O)cc1
